,index,OBJECTID,POINTID,GRID_CODE,Xpr,Ypr,Lat,Long_,Elev,Name,Type,Subbasin,HydroID,OutletID,geometry,Hydropower_1,Hydropower_2,Hydropower_3,Hydropower_4,Hydropower_5,Hydropower_6,Hydropower_7,Hydropower_8,Hydropower_9,Hydropower_10,Hydropower_11,Hydropower_12,Environment_1,Environment_2,Environment_3,Environment_4,Environment_5,Environment_6,Environment_7,Environment_8,Environment_9,Environment_10,Environment_11,Environment_12,Recession_1,Recession_2,Recession_3,Recession_4,Recession_5,Recession_6,Recession_7,Recession_8,Recession_9,Recession_10,Recession_11,Recession_12,Sugar_1,Sugar_2,Sugar_3,Sugar_4,Sugar_5,Sugar_6,Sugar_7,Sugar_8,Sugar_9,Sugar_10,Sugar_11,Sugar_12,Cotton_1,Cotton_2,Cotton_3,Cotton_4,Cotton_5,Cotton_6,Cotton_7,Cotton_8,Cotton_9,Cotton_10,Cotton_11,Cotton_12
0,23,24,10,10.0,314708.7071,866897.0783,7.83924642791,37.3194638391,0.0,,T,10,400024,100024,POINT (4154383.711242138 875396.4189091593),204599677.41935483,176667178.2762692,175359569.89247313,175605666.66666666,177396559.13978493,190233333.33333334,253826881.7204301,405409462.3655914,510310888.8888889,490351612.9032258,396287444.4444444,282675698.9247312,204599677.41935483,176667178.2762692,175359569.89247313,175605666.66666666,177396559.13978493,190233333.33333334,253826881.7204301,405409462.3655914,510310888.8888889,490351612.9032258,396287444.4444444,282675698.9247312,204599677.41935483,176667178.2762692,175359569.89247313,175605666.66666666,177396559.13978493,190233333.33333334,253826881.7204301,405409462.3655914,510310888.8888889,490351612.9032258,396287444.4444444,282675698.9247312,204599677.41935483,176667178.2762692,175359569.89247313,175605666.66666666,177396559.13978493,190233333.33333334,253826881.7204301,405409462.3655914,510310888.8888889,490351612.9032258,396287444.4444444,282675698.9247312,204599677.41935483,176667178.2762692,175359569.89247313,175605666.66666666,177396559.13978493,190233333.33333334,253826881.7204301,405409462.3655914,510310888.8888889,490351612.9032258,396287444.4444444,282675698.9247312
1,25,26,17,17.0,230011.5509,728049.6845,6.58063685618,36.5584223583,0.0,,T,17,400026,100026,POINT (4069664.961131669 734169.0415614147),14149304301.07527,14127105076.74144,14046170967.741936,13786630000.0,13166531182.795698,12590981111.11111,12743136559.139786,13550152688.172043,14339645555.555555,14489683870.967741,14524042222.222221,14520954838.709677,8273317204.301075,8420488783.94333,8533065591.397849,8695477777.777779,8901612903.225807,8920561111.11111,8674353763.44086,8432281720.430107,8234866666.666667,8036455913.978495,8152097777.777778,8368339784.946237,3226416129.032258,3377585596.22196,3490864516.129032,3640125555.5555553,3762598924.7311826,3638207777.7777777,3331946236.5591397,3389461290.322581,3403450000.0,3101279569.892473,3012607777.7777777,3043861290.322581,4743439784.946237,4571720188.902007,4392686021.505377,4239218888.888889,4178305376.344086,4179961111.111111,4387330107.526882,4883819354.83871,5187620000.0,5165511827.956989,5089601111.111111,4949922580.645162,2948577419.354839,2928182998.8193626,2927260215.0537634,2939888888.888889,3021333333.3333335,3269650000.0,3976216129.032258,5038689247.311828,5098535555.555555,4154461290.322581,3287773333.3333335,2941575268.8172045
2,26,27,13,13.0,312097.6169,756467.1178,6.84066449773,37.2995865239,0.0,,T,13,400027,100027,POINT (4152170.978644066 763314.8915759486),5550159139.784946,5560939787.485242,5566244086.021505,5581660000.0,5593680645.16129,5604503333.333333,5615741935.4838705,5629953763.44086,5649358888.888889,5666397849.462365,5678354444.444445,5689078494.623656,1729853118.2795699,1571753719.0082645,1464258172.0430107,1449004888.8888888,1565040107.5268817,1677706777.7777777,1795335698.9247313,1929739354.8387096,2052491555.5555556,2264228387.096774,2304729111.111111,2100476344.0860214,4076963440.860215,4171057851.2396693,4322327956.989247,4563874444.444445,4901691397.8494625,5153185555.555555,5162865591.397849,4764480645.16129,4038464444.4444447,3872675268.8172045,3998114444.4444447,4102491397.8494625,4582721505.376344,4601643447.461629,4637144086.021505,4763072222.222222,4908924731.182796,4965075555.555555,4912744086.021505,4788749462.365591,4622536666.666667,4592493548.387096,4661456666.666667,4686432258.064516,2320164408.6021504,2376043565.5253835,2560556451.612903,2986011111.111111,3632234408.6021504,4245405555.5555553,4719461290.32258,5080513978.494623,5021538888.888889,4207097849.4623656,3284538888.888889,2618931075.2688174
